"","summary"
"1098","09/30/2012: An explosives-laden vehicle detonated near a police patrol in Balad Ruz village, Diyala governorate, Iraq. Two people were killed and seven others were injured in the blast. This was one of 14 related attacks across Iraq on this day. Al-Qaida in Iraq claimed responsibility for the incidents, stating that they were a result of the mistreatment of Sunni prisoners by the Shia government."
"1099","10/02/2012: An explosive-laden vehicle was discovered near the home of Defense Minister Mohammed Nasser Ahmed in Sanaa city, Amanat Al Asimah governorate, Yemen. The device was defused before it could detonate. No group claimed responsibility for the incident; however, sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1100","10/03/2012: Four gunmen attacked a military post in Lahij governorate, Yemen. Two soldiers were killed and three other people injured in the assault. No group claimed responsibility for the incident; however, sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1101","10/06/2012: An explosives-laden vehicle was discovered near the al-Anad airbase in Lahij governorate, Yemen. The device was defused before it could detonate. No group claimed responsibility for the incident; however, officials attributed it to Al-Qaida in the Arabian Peninsula (AQAP)."
"1102","10/09/2012: Gunmen opened fire on a Republican Guard checkpoint in Mukalla city, Hadramawt governorate, Yemen. Four soldiers were killed in the attack. No group claimed responsibility for the incident; however, authorities suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1103","10/10/2012: Assailants kidnapped three individuals from a checkpoint in Marib, Yemen. All three individuals were killed and their bodies dumped back at the checkpoint on October 11, 2012. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident, stating that they believed that the three individuals had worked in collaboration with United States (US) and Yemeni intelligence agencies to plant electronic trackers on AQAP vehicles. AQAP suspected that this tracking capability enabled US drone strikes to target their comrades."
"1104","10/11/2012: Assailants opened fire on the vehicle of Qassem Aqlan in Sanaa city, Amanat Al Asimah governorate, Yemen. Aqlan, who served as the assistant security officer at the United States (US) Embassy in Sanaa, was killed in the attack. No group claimed responsibility for the incident; however, officials suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1105","10/13/2012: Assailants opened fire on Colonel Saleh Badhoris in Hadramawt governorate, Yemen. Badhoris, an intelligence officer, was injured in the attack. No group claimed responsibility for the incident; however, authorities suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1106","10/15/2012: An explosive device was discovered attached to a liquefied natural gas pipeline in Shabwah governorate, Yemen. The device was successfully defused by Yemeni military forces. No group claimed responsibility for the incident; however, authorities suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1107","10/16/2012: Assailants on a motorcycle opened fire on Brigadier General Khaled Hatem al-Hashemi in Sanaa city, Amanat Al Asimah governorate, Yemen. Al-Hashemi, a former Iraqi military official who was working as a consultant at Yemen's Ministry of Defense, was killed in the attack. No group claimed responsibility for the incident; however, sources suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1108","10/16/2012: A suicide bomber detonated an explosives-laden vehicle at a Popular Resistance Committees (PRC) checkpoint in Mudiyah district, Abyan governorate, Yemen. Assailants also opened fire on the checkpoint, killing three PRC personnel and injuring five more individuals. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1109","10/18/2012: Assailants shot two soldiers in a civilian vehicle at a fake roadblock on the road between Issers and Timezrit towns in Boumerdes province, Algeria. The assailants used the checkpoint to verify identity cards, removing two soldiers dressed in civilian clothes from a car. Both soldiers were killed in the attack. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in the Islamic Maghreb (AQIM)."
"1110","10/19/2012: Suicide bombers dressed in military uniforms drove an explosives-laden vehicle onto a Yemeni army base in Abyan governorate, Yemen. Upon entering the base, the assailants shot two soldiers, and three assailants exited the vehicle wearing explosives-laden vests. The fourth assailant drove the vehicle further onto the base and detonated it. Two of the three assailants were killed by army personnel, while the third detonated an explosives-laden vest. Another group of assailants then attacked the army base from the sea. In total, 12 Yemeni soldiers and 10 assailants were killed, and at least 15 soldiers were injured in the attack. No group claimed responsibility for the incident; however, authorities attributed it to Al-Qaida in the Arabian Peninsula (AQAP)."
"1111","10/20/2012: Assailants attacked a pro-government militia checkpoint in Houta town, Lahij governorate, Yemen. Seven militia members were injured in the attack. No group claimed responsibility for the incident; however, sources attributed it to Al-Qaida in the Arabian Peninsula (AQAP)."
"1112","10/23/2012: Assailants on a motorcycle opened fire on the vehicle of Jameel al-Dahaby near a military base in Ad Dali, Yemen. Al-Dahaby, a senior security officer for the Yemeni military, was killed in the attack. No group claimed responsibility for the incident; however, a government official suspected Al-Qaida in the Arabian Peninsula (AQAP)."
"1113","10/25/2012: Two assailants on motorcycles opened fire on Colonel Ali al-Yemeni and Abdullah al-Saidy while they were traveling in a vehicle in Dhamar governorate, Yemen. Al-Yemeni, a counterterrorism official, and al-Saidy, a local police chief, were killed in the assault. Al-Qaida in the Arabian Peninsula (AQAP) claimed responsibility for the incident."
"1114","10/27/2012: An explosive device magnetically attached to a minibus carrying Shia Muslim pilgrims detonated in Taji, Saladin, Iraq. At least five people, including Iranian pilgrims, were killed and another 12 injured in the attack. In a statement posted online, Al-Qaida in Iraq claimed responsibility for the incident, stating that they had carried it out in retaliation for Iraq's Shia-led government's alleged actions of persecuting and interning Sunni women for the purpose of pressuring ""their wanted relatives [into] turning themselves [in] to Iraqi security forces."""
"1115","10/27/2012: An explosives-laden vehicle detonated near a restaurant in the predominantly Shia Muslim area of Sadr City in Baghdad city, Baghdad governorate, Iraq. At least 23 people were killed in the blast. This was one of two car bombings in Sadr City on the same day by the same group. In a statement posted online, Al-Qaida in Iraq claimed responsibility for the incident, stating that they carried it out in retaliation for Iraq's Shia-led government's alleged actions of persecuting and interning Sunni women for the purpose of pressuring ""their wanted relatives [into] turning themselves [in] to Iraqi security forces."""
"1116","10/27/2012: An explosives-laden vehicle detonated at a market in the predominantly Shia Muslim area of Sadr City in Baghdad city, Baghdad governorate, Iraq. At least seven people were killed in the blast. This was one of two car bombings in Sadr City on the same day by the same group. In a statement posted online, Al-Qaida in Iraq claimed responsibility for the incident, stating that they carried it out in retaliation for Iraq's Shia-led government's alleged actions of persecuting and interning Sunni women for the purpose of pressuring ""their wanted relatives [into] turning themselves [in] to Iraqi security forces."""
"1117","10/27/2012: An explosive device detonated at the Al-Bawiah market in the predominantly Shia Muslim Maamel neighborhood in Rusafa district, Baghdad city, Baghdad governorate, Iraq. At least eight people were killed and another 25 injured in the blast. In a statement posted online, Al-Qaida in Iraq claimed responsibility for the incident, stating that they carried it out in retaliation for Iraq's Shia-led government's alleged actions of persecuting and interning Sunni women for the purpose of pressuring ""their wanted relatives [into] turning themselves [in] to Iraqi security forces."""
